age_min,state,income_max,priority,ministry,scheme_type,benefits,category,description,eligibility,scheme_name,occupation,target_group,gender,age_max,family_income_max,age_group,income_group,combined_text
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Chief Minister Higher Education Scholarship Scheme,student,General Public,all,100,500000,,middle,Chief Minister Higher Education Scholarship Scheme student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Housing Assistance Programme,all,General Public,all,100,500000,,middle,Chief Minister Housing Assistance Programme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Kanya Utthan Yojana,all,General Public,all,100,500000,,middle,Chief Minister Kanya Utthan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Ladli Behna Yojana,all,General Public,all,100,500000,,middle,Chief Minister Ladli Behna Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Nari Shakti Yojana,all,General Public,all,100,500000,,middle,Chief Minister Nari Shakti Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Chief Minister Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Chief Minister Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Samagra Gramya Unnayan Yojana,all,General Public,all,100,500000,,middle,Chief Minister Samagra Gramya Unnayan Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Chief Minister Specially Abled Samman Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Chief Minister Specially Abled Samman Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme,all,General Public,all,100,500000,,middle,Chief Minister's Building and Other Construction Workers Housing (Rural) Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB),all,General Public,all,100,500000,,middle,Chief Minister's Building and Other Construction Workers Urban Housing Scheme (MPBOCWWB) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Chief Minister's Comprehensive Health Insurance Scheme,all,General Public,all,100,500000,,middle,Chief Minister's Comprehensive Health Insurance Scheme health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister's Jeevan Jyoti Swaniyojan Yojana,all,General Public,all,100,500000,,middle,Chief Minister's Jeevan Jyoti Swaniyojan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister's Krishi Rinn Yojana,all,General Public,all,100,500000,,middle,Chief Minister's Krishi Rinn Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Chief Minister's State Disability Pension Scheme - Sikkim,unemployed,General Public,all,100,500000,adult,middle,Chief Minister's State Disability Pension Scheme - Sikkim pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension,unemployed,General Public,all,100,500000,adult,middle,Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Ministergi Artistesinggi Tengbang (CMAT) – Scheme Of Festival Assistance For Participating In International & National Festival,all,General Public,all,100,500000,,middle,Chief Ministergi Artistesinggi Tengbang (CMAT) – Scheme Of Festival Assistance For Participating In International & National Festival general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Chief Minister’s Comprehensive Health Insurance Scheme - Tamil Nadu,all,General Public,all,100,500000,,middle,Chief Minister’s Comprehensive Health Insurance Scheme - Tamil Nadu health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Chief Minister’s Health Insurance Scheme - Nagaland,all,General Public,all,100,500000,,middle,Chief Minister’s Health Insurance Scheme - Nagaland health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister’s Krishi Samuh Yojana,all,General Public,all,100,500000,,middle,Chief Minister’s Krishi Samuh Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister’s Paryatan Siksha Yojana,all,General Public,all,100,500000,,middle,Chief Minister’s Paryatan Siksha Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister’s Paryatan Vikas Yojana,all,General Public,all,100,500000,,middle,Chief Minister’s Paryatan Vikas Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Agriculture,Government,As per official scheme guidelines,farmer,Government welfare scheme,As per government norms,Chief Minister’s Shasakt Kisan Yojana,farmer,General Public,all,100,500000,,middle,Chief Minister’s Shasakt Kisan Yojana farmer Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Chief Minister’s Startup/innovation Projects/new Industries,all,General Public,all,100,500000,,middle,Chief Minister’s Startup/innovation Projects/new Industries msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister’s Yuva Kaushal Yojana,all,General Public,all,100,500000,,middle,Chief Minister’s Yuva Kaushal Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chikitsa Pratipoorti Yojana,all,General Public,all,100,500000,,middle,Chikitsa Pratipoorti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chikitsa Sahayata Yojana,all,General Public,all,100,500000,,middle,Chikitsa Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Children Education Allowance,all,General Public,all,100,500000,,middle,Children Education Allowance student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Children Education Assistance Fund,all,General Public,all,100,500000,,middle,Children Education Assistance Fund student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Cluster Mei Bagwani Ki Yojana,all,General Public,all,100,500000,,middle,Cluster Mei Bagwani Ki Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Cluster Mei Bagwani Ki Yojana-II,all,General Public,all,100,500000,,middle,Cluster Mei Bagwani Ki Yojana-II general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Coconut Palm Insurance Scheme,all,General Public,all,100,500000,,middle,Coconut Palm Insurance Scheme health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Coir Udyami Yojana,all,General Public,all,100,500000,,middle,Coir Udyami Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,all,General Public,all,100,500000,,middle,Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Coir Vikas Yojana- Export Market Promotion Scheme,all,General Public,all,100,500000,,middle,Coir Vikas Yojana- Export Market Promotion Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Women & Child Development,Government,As per official scheme guidelines,women,Government welfare scheme,As per government norms,Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,all,General Public,female,100,500000,,middle,Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana women Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Comprehensive Educational Loan Scheme - Sikkim,all,General Public,all,100,500000,,middle,Comprehensive Educational Loan Scheme - Sikkim msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Consolidated Stipend Scheme for Scheduled Caste Students Pursuing Higher Education,student,General Public,all,100,500000,,middle,Consolidated Stipend Scheme for Scheduled Caste Students Pursuing Higher Education student Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Continuation of Pension (K.B.O.C.W.W.B),unemployed,General Public,all,100,500000,adult,middle,Continuation of Pension (K.B.O.C.W.W.B) pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Credit Based Schemes For SC - Aajeevika Micro-Finance Yojana (Livelihood Microfinance Scheme),all,General Public,all,100,500000,,middle,Credit Based Schemes For SC - Aajeevika Micro-Finance Yojana (Livelihood Microfinance Scheme) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Cycle Anudaan Yojana,all,General Public,all,100,500000,,middle,Cycle Anudaan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Cycle Sahayata Yojana,all,General Public,all,100,500000,,middle,Cycle Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Dattopant Thengadi Mratak Shramik Aarthik Sahayata Yojana,all,General Public,all,100,500000,,middle,Dattopant Thengadi Mratak Shramik Aarthik Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Dayanand Bandodkar Scheme For Higher Education For Orphans,all,General Public,all,100,500000,,middle,Dayanand Bandodkar Scheme For Higher Education For Orphans student Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Deen Dayal Divyangjan Pension Scheme - Assam,unemployed,General Public,all,100,500000,adult,middle,Deen Dayal Divyangjan Pension Scheme - Assam pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),student,General Public,all,100,500000,,middle,Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby) student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Swasthya Seva Yojana,all,General Public,all,100,500000,,middle,Deen Dayal Swasthya Seva Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Upadhyay Grameen Kaushalya Yojana,all,General Public,all,100,500000,,middle,Deen Dayal Upadhyay Grameen Kaushalya Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Upadhyay Kaushal Kendra (DDUKK)- Mega Skill Centre,all,General Public,all,100,500000,,middle,Deen Dayal Upadhyay Kaushal Kendra (DDUKK)- Mega Skill Centre general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),all,General Public,all,100,500000,,middle,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),all,General Public,all,100,500000,,middle,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deen Dayal Upadhyaya Bunkar Yojana,all,General Public,all,100,500000,,middle,Deen Dayal Upadhyaya Bunkar Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,all,General Public,all,100,500000,,middle,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Delhi Pension Scheme To Women In Distress (Widow Pension),unemployed,General Public,female,100,500000,adult,middle,Delhi Pension Scheme To Women In Distress (Widow Pension) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Dependent Children Pension Scheme - Punjab,unemployed,General Public,all,100,500000,adult,middle,Dependent Children Pension Scheme - Punjab pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Agriculture,Government,As per official scheme guidelines,farmer,Government welfare scheme,As per government norms,Destitute Agricultural Labourers Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Destitute Agricultural Labourers Pension Scheme farmer Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Destitute Differently Abled Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Destitute Differently Abled Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Destitute Widow Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Destitute Widow Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Destitute/Deserted Wives Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Destitute/Deserted Wives Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Devnarayan Gurukul Yojana,all,General Public,all,100,500000,,middle,Devnarayan Gurukul Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Devnarayan Pratibhawan Chhatra Protsahan Yojana,all,General Public,all,100,500000,,middle,Devnarayan Pratibhawan Chhatra Protsahan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Dhanvantari Arogya Rath Yojana (GBOCWWB),all,General Public,all,100,500000,,middle,Dhanvantari Arogya Rath Yojana (GBOCWWB) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Dhobhi Hetu Avashyak Upkaran Sahayata Yojana,all,General Public,all,100,500000,,middle,Dhobhi Hetu Avashyak Upkaran Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Differently Abled Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Differently Abled Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension (A.B.O.C.W.W.B),unemployed,General Public,all,100,500000,adult,middle,Disability Pension (A.B.O.C.W.W.B) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension (BBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Disability Pension (BBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension (GBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Disability Pension (GBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension (HPBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Disability Pension (HPBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension (MBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Disability Pension (MBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension - West Bengal,unemployed,General Public,all,100,500000,adult,middle,Disability Pension - West Bengal pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension For Registered Worker (HBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Disability Pension For Registered Worker (HBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),unemployed,General Public,all,100,500000,adult,middle,Disability Pension and Ex-Gratia (K.B.O.C.W.W.B) pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disability Pension for the Construction Workers,unemployed,General Public,all,100,500000,adult,middle,Disability Pension for the Construction Workers pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Disabled Person Pension Scheme - Punjab,unemployed,General Public,all,100,500000,adult,middle,Disabled Person Pension Scheme - Punjab pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Distance Education Scheme for Girls,all,General Public,all,100,500000,,middle,Distance Education Scheme for Girls student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses",student,General Public,all,100,500000,,middle,"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses student Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Distribution of Soil Health Card,all,General Public,all,100,500000,,middle,Distribution of Soil Health Card health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan",all,General Public,all,100,500000,,middle,"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan msme/startup Government welfare scheme As per official scheme guidelines General Public"
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Divyang Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Divyang Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
